frame,DET@0.5,TP@0.5,FP@0.5,FN@0.5,DET@0.7,TP@0.7,FP@0.7,FN@0.7,SEG,SEG_mode
0,0.9907667603368162,2468,19,4,0.989169675089856,2466,21,6,0.9006206066779459,instance
1,0.048339638503562765,230,2235,2293,0.006863140896244072,34,2431,2489,0.3200089037545569,instance
2,0.03707560924806559,178,2289,2334,0.0060618306728619795,30,2437,2482,0.3163964500962855,instance
3,0.09456473707465872,428,2022,2076,0.008345206594746926,41,2409,2463,0.3594357694582063,instance
4,0.08975202984417605,409,2059,2089,0.0062816616008092635,31,2437,2467,0.35704187423095085,instance
5,0.0744657889056606,345,2110,2178,0.0034267284821601638,17,2438,2506,0.3411736005915537,instance
6,0.09116997792492468,413,2037,2080,0.0059015059015047,29,2421,2464,0.35567262865890253,instance
7,0.0778021978021807,354,2080,2116,0.0034786167382845345,17,2417,2453,0.34268985136674335,instance
8,0.08569530558014045,387,2059,2070,0.0038902538902530932,19,2427,2438,0.35245778801002836,instance
9,0.07660136473694108,348,2083,2112,0.0032820512820506084,16,2415,2444,0.3399067453642241,instance
10,0.07807345502527423,355,2085,2107,0.0043023970497839984,21,2419,2441,0.342013730077503,instance
11,0.06971677559911335,320,2102,2168,0.005323505323504233,26,2396,2462,0.3317158772781978,instance
12,0.07387862796832148,336,2097,2115,0.004111842105262312,20,2413,2431,0.33944931430879355,instance
13,0.08494122865378466,383,2037,2089,0.005549845837614481,27,2393,2445,0.34459888568524144,instance
14,0.0803986710963277,363,2060,2092,0.004530477759471884,22,2401,2433,0.34221416881111505,instance
15,0.08202950379971344,367,2037,2070,0.003940273745333069,19,2385,2418,0.34660884272349446,instance
16,0.09243316719526677,408,2002,2004,0.006470465456062101,31,2379,2381,0.35201583620867694,instance
17,0.08755656108595303,387,2008,2025,0.006701570680626868,32,2363,2380,0.34872369625886385,instance
18,0.08290387631636054,370,2040,2053,0.0045728538765319945,22,2388,2401,0.34856840725332316,instance
19,0.07836072956539554,348,2048,2045,0.0044043624161064585,21,2375,2372,0.343709554590186,instance
20,0.08250452079564138,365,2034,2025,0.0041937513105464045,20,2379,2370,0.34368932830339266,instance
21,0.10138667879061118,446,1935,2018,0.00643955130868167,31,2350,2433,0.35861031342170463,instance
22,0.09496954658242837,421,1991,2021,0.00476091906437492,23,2389,2419,0.3521941444252817,instance
23,0.0984162895927379,435,1955,2030,0.004967915545434699,24,2366,2441,0.3548130544592322,instance
24,0.09485094850946367,420,1985,2023,0.006226650062265208,30,2375,2413,0.3565385664421555,instance
25,0.09541117673782475,420,1963,2019,0.0037468776019975543,18,2365,2421,0.35526567108486623,instance
26,0.09206349206347118,406,1980,2024,0.0054279749478067995,26,2360,2404,0.35230565535611075,instance
27,0.08124576844954158,360,2005,2066,0.0037712130735378644,18,2347,2408,0.3440410100283985,instance
28,0.07952508960571694,355,2023,2086,0.004167534903103945,20,2358,2421,0.33733589089080956,instance
31,0.06507831458194019,295,2072,2166,0.00290818446198527,14,2353,2447,0.3167889129566311,instance
32,0.06483957219249892,291,2082,2115,0.004413619167716601,21,2352,2385,0.32355523616130577,instance
33,0.07295941632465276,320,2028,2038,0.004053765735010869,19,2329,2339,0.3377436609016278,instance
34,0.08532344076047174,368,1985,1960,0.005585392051556265,26,2327,2302,0.3488612991167671,instance
35,0.11595591758502252,484,1860,1830,0.015035955545867282,69,2275,2245,0.36873409550273994,instance
36,0.12067731934173129,506,1859,1828,0.019969611460816154,92,2273,2242,0.3697815840160983,instance
37,0.09444574642603833,403,1944,1920,0.016100957354217557,74,2273,2249,0.36175947960574834,instance
38,0.10212765957444393,432,1916,1882,0.009309374323444617,43,2305,2271,0.35986596911812974,instance
39,0.07032153597037466,304,2022,1997,0.005650945446640805,26,2300,2275,0.3361867916988791,instance
40,0.07611731843573646,327,2004,1965,0.004999999999998912,23,2308,2269,0.34349997760674567,instance
41,0.07798594847773349,333,1980,1957,0.004144851657939759,19,2294,2271,0.3389577435938722,instance
42,0.07188498402554269,315,2086,1981,0.005566259901518825,26,2375,2270,0.3342455078054368,instance
43,0.06990740740739122,302,2080,1938,0.003038194444443785,14,2368,2226,0.33768537709421775,instance
44,0.0737628384687036,316,2072,1896,0.0028340963592755975,13,2375,2199,0.342990717767276,instance
45,0.0713105076741272,302,2057,1876,0.0037610619469018226,17,2342,2161,0.3404001877290945,instance
46,0.0945009242143959,409,1980,1939,0.010021321961618332,47,2342,2301,0.356515127664098,instance
47,0.07285519745799526,321,2051,2034,0.0033963065166624077,16,2356,2339,0.33337595326783276,instance
48,0.07001591270741758,308,2068,2023,0.003838771593089392,18,2358,2313,0.3373550335551725,instance
49,0.06726354453625637,293,2061,2002,0.004537597234225467,21,2333,2274,0.3349918929755131,instance
50,0.07079037800685663,309,2075,1981,0.003865979381442468,18,2366,2272,0.33942657423037764,instance
51,0.07763830776381273,334,2021,1947,0.004768097095794371,22,2333,2259,0.3409546260522822,instance
52,0.0784816022356594,337,2020,1937,0.006082989354767307,28,2329,2246,0.34269160583207203,instance
53,0.06884480746789524,295,2042,1948,0.0030661410424872824,14,2323,2229,0.3376477260983439,instance
54,0.06598749710579624,285,2082,1952,0.003268685988232018,15,2352,2222,0.3393861605473747,instance
55,0.06794303058602195,291,2055,1937,0.0026304252520818433,12,2334,2216,0.33654683004894637,instance
56,0.06335576699928908,273,2084,1952,0.0026258205689272153,12,2345,2213,0.3337114733489386,instance
57,0.06516174074934485,280,2059,1958,0.003068156914310088,14,2325,2224,0.3331677178752256,instance
58,1.0,0,0,0,1.0,0,0,0,1.0,instance
59,1.0,0,0,0,1.0,0,0,0,1.0,instance
60,1.0,0,0,0,1.0,0,0,0,1.0,instance
61,1.0,0,0,0,1.0,0,0,0,1.0,instance
62,0.07101865136296723,297,2041,1844,0.002461951656221472,11,2327,2130,0.33647973223091066,instance
63,0.06792361614694997,281,2005,1851,0.0036347114947742763,16,2270,2116,0.3321722136009212,instance
64,0.06652152878566363,275,2024,1835,0.003870673952640284,17,2282,2093,0.33709805564012996,instance
65,0.06603544549646369,272,2000,1847,0.002969392416627919,13,2259,2106,0.330591536101954,instance
66,0.07303921568625661,298,1977,1805,0.003438001375199762,15,2260,2088,0.3387066120493,instance
67,0.06602847324495188,269,1986,1819,0.003465804066542637,15,2240,2073,0.3353505912913923,instance
68,0.06912554958474129,283,1991,1820,0.004590314436537849,20,2254,2083,0.3318290372399708,instance
69,0.06379310344826015,259,2001,1800,0.002320724065908025,10,2250,2049,0.33373034159793374,instance
70,0.06524405199900288,266,2007,1804,0.0020766035994457597,9,2264,2061,0.3298114306496847,instance
72,0.05783718104494341,238,2036,1841,0.002764340013821063,12,2262,2067,0.32650079327987525,instance
73,0.06537890044574904,264,1998,1776,0.0032649253731335667,14,2248,2026,0.33051477454836886,instance
74,0.05640803976657523,261,2014,2352,0.0014341323499279994,7,2268,2606,0.30018002126627724,instance
75,0.06202060048212535,283,1961,2319,0.0031049472158966866,15,2229,2587,0.30344080915066113,instance
76,0.06087146923580887,278,1980,2309,0.0024829298572310193,12,2246,2575,0.30199199014582073,instance
77,0.060626102292755585,275,1959,2302,0.002709462275947747,13,2221,2564,0.3029422727908229,instance
78,0.06215560943353269,282,1965,2290,0.0029136316337142736,14,2233,2558,0.3001147103957478,instance
79,0.06096209266236733,275,1947,2289,0.002093802345058188,10,2212,2554,0.2972159479651836,instance
80,0.05850010996259984,266,1968,2313,0.002082032063293341,10,2224,2569,0.2950952747671671,instance
81,0.06327985739749035,284,1924,2280,0.003153247845279976,15,2193,2549,0.2967390152628274,instance
82,0.06459489456158388,291,1950,2264,0.0016708437761065848,8,2233,2547,0.2980277424378413,instance
83,0.05962483251450209,267,1948,2263,0.00487081745023192,23,2192,2507,0.29805799612624945,instance
84,0.05763688760805638,260,1959,2292,0.002943031322261311,14,2205,2538,0.29337543972125957,instance
86,0.050907481186354374,230,1954,2334,0.0018991348385731378,9,2175,2555,0.27973581012696264,instance
87,0.05301150462439588,235,1913,2285,0.0017167381974245242,8,2140,2512,0.27988269796767373,instance
89,0.05481313703283016,242,1894,2279,0.0025834230355215103,12,2124,2509,0.2830417074006642,instance
90,0.04960362400904878,219,1915,2281,0.0012964563526358477,6,2128,2494,0.27710157297072713,instance
91,0.05066179826562057,222,1888,2272,0.001958650707290107,9,2101,2485,0.27662574255779226,instance
92,0.059058614564818146,266,2019,2219,0.0023114099600751604,11,2274,2474,0.2956423580463107,instance
93,0.05336891260839373,240,2019,2238,0.0031766200762382087,15,2244,2463,0.2906711250528214,instance
96,0.05346624376981117,236,2040,2138,0.00280353676946241,13,2263,2361,0.2987254951176124,instance
97,0.05870213253839515,256,2000,2105,0.002388189318279985,11,2245,2350,0.30063659561765926,instance
98,0.05742619926197937,249,1997,2090,0.0019667832167827868,9,2237,2330,0.30270050210487853,instance
99,0.05468215994530538,240,1982,2167,0.002381983542658644,11,2211,2396,0.2881292404434492,instance
